Id,Label
厅,厅
厅长,厅长
米克尔,米克尔
桑佩尔,桑佩尔
Miquel,Miquel
à,à
mper,mper
接受,接受
21,21
世纪,世纪
报道,报道
记者,记者
独家,独家
专访,专访
时说,时说
拥有,拥有
南欧,南欧
最具,最具
工业,工业
体,体
车流,车流
追踪,追踪
依赖于,依赖于
目前,目前
取得,取得
很大,很大
中常会,中常会
Dense,Dense
Vehicle,Vehicle
RealTime,RealTime
Detection,Detection
RTDETRDV,RTDETRDV
变换器,变换器
RTDETR,RTDETR
漏检,漏检
尺寸,尺寸
MultiScale,MultiScale
MSVD,MSVD
更好,更好
分离,分离
Feature,Feature
Separation,Separation
DVFS,DVFS
Pyramid,Pyramid
Network,Network
FPN,FPN
剥离,剥离
区分度,区分度
加速,加速
收敛,收敛
函数,函数
BITV,BITV
路段,路段
处,处
智能网,智能网
联,联
Connected,Connected
Autonomous,Autonomous
CAV,CAV
往往,往往
低易,低易
引起,引起
后方,后方
人工,人工
Humandriving,Humandriving
VehicleHV,VehicleHV
超车,超车
混合,混合
应对,应对
HV,HV
跟随,跟随
意愿,意愿
分为,分为
常规,常规
有限,有限
状态机,状态机
描述,描述
整数,整数
二次,二次
行程,行程
油耗,油耗
最大化,最大化
舒适度,舒适度
被动,被动
行,行
Improved,Improved
Passive,Passive
Yielding,Yielding
Strategy,Strategy
IPYS,IPYS
减小,减小
负面影响,负面影响
占,占
流量,流量
水平,水平
2030,2030
之间,之间
周期,周期
长度,长度
AVs,AVs
人类,人类
HVs,HVs
拥堵,拥堵
致因,致因
文献,文献
界定,界定
范围,范围
出口,出口
匝道,匝道
车道,车道
数,数
渗透率,渗透率
自变量,自变量
因变量,因变量
选取,选取
AV,AV
搭建,搭建
Python,Python
自动化,自动化
获取,获取
多种,多种
综合,综合
将致,将致
堵,堵
输入,输入
输出,输出
极限,极限
梯度,梯度
XGBoost,XGBoost
沙普利,沙普利
加法,加法
SHAP,SHAP
度,度
单个,单个
平均速度,平均速度
密度,密度
此基础,此基础
管控,管控
数对,数对
贡献度,贡献度
依次,依次
递减,递减
主线,主线
大于,大于
500,500
pcuh1,pcuh1
03,03
正向,正向
05,05
山地,山地
高频,高频
接驳,接驳
滞后,滞后
失衡,失衡
站,站
一体化,一体化
多源,多源
5GV2X,5GV2X
时延,时延
实景,实景
乘客,乘客
利用率,利用率
608333,608333
195,195
实用性,实用性
01,01
困住,困住
早,早
高峰,高峰
红绿灯,红绿灯
僵化,僵化
导航,导航
路况,路况
乱象,乱象
症结,症结
数据处理,数据处理
设备,设备
远端,远端
云,云
计算中心,计算中心
中央,中央
大脑,大脑
摄像头,摄像头
网联,网联
汽车,汽车
激增,激增
海量,海量
挤占,挤占
造成,造成
加重,加重
云端,云端
负荷,负荷
计算技术,计算技术
破解,破解
之道,之道
增设,增设
分布式,分布式
小脑,小脑
就近,就近
解决,解决
减轻,减轻
负担,负担
实验室,实验室
走向,走向
产业,产业
配置管理,配置管理
资产,资产
强国,强国
建设,建设
纲要,纲要
立体,立体
交通网,交通网
实施,实施
数字化,数字化
升级,升级
牵引,牵引
数据分析,数据分析
信息技术,信息技术
网络化,网络化
参与者,参与者
日益,日益
紧密,紧密
经验,经验
判断,判断
事后,事后
处置,处置
管理模式,管理模式
特别,特别
混驾,混驾
道路设施,道路设施
突发事件,突发事件
扰动,扰动
不确定性,不确定性
演化,演化
动态性,动态性
凸显,凸显
亟待,亟待
标注,标注
开放,开放
未知,未知
无需,无需
弱,弱
适应性,适应性
稀疏,稀疏
点云,点云
补全,补全
转化,转化
单目,单目
红绿蓝,红绿蓝
激光雷达,激光雷达
LiDAR,LiDAR
稠密,稠密
伪点,伪点
二维,二维
三维空间,三维空间
反向,反向
视,视
锥体,锥体
噪声,噪声
聚类,聚类
DBSCAN,DBSCAN
分割,分割
感兴趣,感兴趣
投影,投影
评分,评分
鲁棒,鲁棒
框在,框在
知识,知识
教师,教师
朝向,朝向
迁移,迁移
至点,至点
云域,云域
物体,物体
估计,估计
实例,实例
掩膜,掩膜
框以,框以
缓解,缓解
拖,拖
尾,尾
卡尔斯鲁厄,卡尔斯鲁厄
理工学院,理工学院
丰田,丰田
大学,大学
KITTI,KITTI
难度,难度
下均,下均
远距离,远距离
更强,更强
VS3,VS3
城市化,城市化
进程,进程
不断深入,不断深入
不断完善,不断完善
复杂性,复杂性
日趋,日趋
机动车,机动车
保有量,保有量
持续上升,持续上升
污染,污染
严峻,严峻
Transportation,Transportation
System,System
应运而生,应运而生
决策控制,决策控制
有力,有力
热点,热点
意义,意义
诸多,诸多
介绍,介绍
上将,上将
划分,划分
循环,循环
类型,类型
重点,重点
优缺点,优缺点
再次,再次
经典,经典
后续,后续
启发,启发
整合,整合
化,化
政策,政策
导向,导向
教育,教育
现行,现行
产教,产教
结构性,结构性
矛盾,矛盾
制度,制度
变革,变革
跨学科,跨学科
集群,集群
虚实,虚实
生态建设,生态建设
完善,完善
素养,素养
创新能力,创新能力
改革,改革
侧,侧
现代化,现代化
新一轮,新一轮
科技,科技
革命,革命
立足,立足
OBE,OBE
理念,理念
认证,认证
标准,标准
专业知识,专业知识
痛点,痛点
通专,通专
数理,数理
通识,通识
底座,底座
筑牢,筑牢
主干,主干
耦合,耦合
纽带,纽带
涵盖,涵盖
全,全
链条,链条
图谱,图谱
四级,四级
递进,递进
PBL,PBL
实证,实证
竞赛,竞赛
参与率,参与率
获奖,获奖
用人单位,用人单位
岗位,岗位
协作,协作
大幅提高,大幅提高
85,85
业务,业务
有机,有机
工科,工科
复合型,复合型
道路,道路
改扩建,改扩建
组织,组织
施工,施工
协调,协调
对此,对此
深入探讨,深入探讨
做好,做好
综述,综述
实地,实地
调研,调研
制定,制定
原则,原则
管理策略,管理策略
顺利,顺利
关键在于,关键在于
充分考虑,充分考虑
工序,工序
科学合理,科学合理
疏导,疏导
周边环境,周边环境
极为重要,极为重要
多方,多方
强调,强调
政府部门,政府部门
施工单位,施工单位
监理,监理
单位,单位
社会公众,社会公众
利益,利益
方要,方要
互相,互相
沟通,沟通
配合,配合
信息化,信息化
交通管理,交通管理
想法,想法
工程规划,工程规划
理论指导,理论指导
整体效益,整体效益
重大,重大
能为,能为
部门,部门
支持,支持
非线性,非线性
相关性,相关性
MambaHiLoGCN,MambaHiLoGCN
CorGCN,CorGCN
相结合,相结合
灵活,灵活
探索,探索
依赖性,依赖性
相互作用,相互作用
HiLo,HiLo
低频,低频
关注,关注
短期,短期
波动,波动
长期趋势,长期趋势
DDPG,DDPG
邻接矩阵,邻接矩阵
确保,确保
复杂多变,复杂多变
多个,多个
各项,各项
上均,上均
18,18
种,种
包括,包括
HAARIMALSTMGRUCNNDCRNNGMANTGCNSTGCNASTGCNSTSGCNAGCRNSTGODESTCGCNBiSTATASTMGODEASTTN,HAARIMALSTMGRUCNNDCRNNGMANTGCNSTGCNASTGCNSTSGCNAGCRNSTGODESTCGCNBiSTATASTMGODEASTTN
DDGformer,DDGformer
调控,调控
难题,难题
双,双
双环,双环
CACCcooperative,CACCcooperative
adaptive,adaptive
cruise,cruise
control,control
CAVsconnected,CAVsconnected
automated,automated
vehicles,vehicles
连续,连续
平稳,平稳
D3QNdouble,D3QNdouble
dueling,dueling
deep,deep
Qnetwork,Qnetwork
累计,累计
排队,排队
34,34
维,维
以车,以车
奖励,奖励
架构,架构
优先,优先
回放,回放
ε,ε
衰减,衰减
平衡,平衡
开发,开发
长,长
SUMOPython,SUMOPython
兰州市,兰州市
东方红,东方红
广场,广场
西侧,西侧
相较,相较
D3QN,D3QN
有所,有所
27,27
下午,下午
2026,2026
年,年
活动,活动
周,周
秦,秦
创原,创原
西安,西安
科创,科创
基金,基金
园,园
举办,举办
本次,本次
西安市,西安市
局,局
主办,主办
信息中心,信息中心
承办,承办
中国电信,中国电信
股份,股份
分公司,分公司
协办,协办
汇聚,汇聚
政,政
各界,各界
精英,精英
筑,筑
智行,智行
启新,启新
篇,篇
贯彻,贯彻
全球化,全球化
双碳,双碳
多重,多重
叙述性,叙述性
中外,中外
代表性,代表性
文件,文件
报告,报告
交叉学科,交叉学科
学部,学部
学术,学术
回顾,回顾
经济学,经济学
科学,科学
信息科学,信息科学
城乡规划,城乡规划
社会学,社会学
环境工程,环境工程
大气,大气
能源,能源
电气工程,电气工程
航空,航空
宇航,宇航
绿色,绿色
诉求,诉求
学术界,学术界
前瞻,前瞻
融入,融入
无人驾驶,无人驾驶
交通标志,交通标志
TT100k,TT100k
标志,标志
替换法,替换法
加雾,加雾
加雨,加雨
对象,对象
C2f,C2f
p2,p2
层,层
CIoU,CIoU
最终,最终
检验,检验
8640,8640
9090mAP05095,9090mAP05095
6760,6760
7100,7100
实验设计,实验设计
促进,促进
理解,理解
工作,工作
原理,原理
事故率,事故率
居高不下,居高不下
熵,熵
长短期,长短期
记忆,记忆
高保真,高保真
模拟,模拟
右,右
转行,转行
障碍物,障碍物
避让,避让
55,55
名,名
横向,横向
方向盘,方向盘
转角,转角
操控,操控
滑动,滑动
计算速度,计算速度
对应,对应
标准差,标准差
多维,多维
重复,重复
方差分析,方差分析
统计分析,统计分析
窗内,窗内
高于,高于
值,值
3007,3007
误报率,误报率
4245,4245
提前,提前
预警,预警
3684,3684
波动性,波动性
危险,危险
道路交通,道路交通
一定,一定
农村,农村
公里,公里
拓展,拓展
即时,即时
零售,零售
订单,订单
城乡,城乡
公交,公交
客货,客货
联运,联运
线路,线路
普通,普通
快递,快递
乡村,乡村
区段,区段
若干,若干
集聚,集聚
覆盖率,覆盖率
时效,时效
加急,加急
程度,程度
顺序,顺序
里程,里程
邻域,邻域
搜索,搜索
变,变
江苏省,江苏省
淮安市,淮安市
H22,H22
为例,为例
两种,两种
客流,客流
适中,适中
货量,货量
较少,较少
保证,保证
前提,前提
下相,下相
比较,比较
客运,客运
情景,情景
增加,增加
货物,货物
收入,收入
总收入,总收入
395721,395721
运价,运价
调节,调节
635614,635614
169186,169186
距离,距离
延误,延误
适宜,适宜
客流量,客流量
低时,低时
编者按,编者按
延寿,延寿
增韧,增韧
安全可靠,安全可靠
耐久,耐久
运维,运维
反应,反应
预防,预防
转变,转变
作用,作用
近年来,近年来
广大,广大
工作者,工作者
灾害,灾害
深入研究,深入研究
积极响应,积极响应
先进,先进
科研成果,科研成果
交流,交流
中南大学,中南大学
学报,学报
自然科学,自然科学
版,版
编辑部,编辑部
长沙,长沙
理工大学,理工大学
工程学院,工程学院
土木,土木
策划,策划
专刊,专刊
力图,力图
可能,可能
恢复,恢复
隐私,隐私
泄露,泄露
均匀,均匀
加噪,加噪
兼顾,兼顾
抗,抗
发布,发布
端到,端到
端,端
效用,效用
权衡,权衡
攻击能力,攻击能力
可用性,可用性
对抗,对抗
集将,集将
攻击者,攻击者
纳入,纳入
见,见
防护,防护
残差,残差
原始,原始
叠加,叠加
幅度,幅度
可控,可控
分量,分量
连续性,连续性
破坏,破坏
单元,单元
敏感度,敏感度
潜在,潜在
表示,表示
施加,施加
信息压缩,信息压缩
使高,使高
敏感区域,敏感区域
获得,获得
更高,更高
保真度,保真度
合成,合成
相近,相近
拉普拉斯,拉普拉斯
差分,差分
主流,主流
以多,以多
衡量,衡量
约,约
550652766,550652766
315121928,315121928
因果,因果
推理方法,推理方法
优势,优势
差及,差及
解释性,解释性
HSTNNHCDECE,HSTNNHCDECE
异质,异质
时空图,时空图
HSTNN,HSTNN
区分,区分
异,异
质子,质子
实体,实体
间,间
重要性,重要性
权重,权重
频域,频域
统计,统计
成分,成分
HCDE,HCDE
细微,细微
动作,动作
反,反
事实,事实
CE,CE
亲,亲
矩阵,矩阵
Acc,Acc
MacroF1,MacroF1
938,938
893,893
51,51
专用,专用
UADETRAC,UADETRAC
定量,定量
可信性,可信性
隧道,隧道
建造,建造
管片,管片
衬砌,衬砌
全过程,全过程
定性,定性
分析方法,分析方法
生产,生产
拼装,拼装
现状及,现状及
成效,成效
传统模式,传统模式
质量,质量
进度,进度
环保,环保
成本,成本
维护,维护
测绘,测绘
地理,地理
动态化,动态化
立体化,立体化
城市规划,城市规划
展现出,展现出
强大,强大
地理信息,地理信息
信息系统,信息系统
可操作性,可操作性
飞速发展,飞速发展
深刻影响,深刻影响
研判,研判
指挥,指挥
一体,一体
综合利用,综合利用
公共安全,公共安全
地理信息系统,地理信息系统
GIS,GIS
早期,早期
文中,文中
预案,预案
韧性,韧性
高碳,高碳
排放,排放
社会,社会
双重,双重
碳,碳
减排,减排
技术支持,技术支持
潜力,潜力
低碳,低碳
推进,推进
规模,规模
不断扩大,不断扩大
车站,车站
照明电,照明电
扶梯,扶梯
通风,通风
空调,空调
环节,环节
能源消耗,能源消耗
同步,同步
舒适,舒适
低能耗,低能耗
逐渐,逐渐
需要,需要
照明,照明
覆盖范围,覆盖范围
长是,长是
能效,能效
占据,占据
若能,若能
低压配电,低压配电
功率,功率
物,物
需求预测,需求预测
时分,时分
节能降耗,节能降耗
工程化,工程化
摘要,摘要
信息处理,信息处理
标准化,标准化
云边,云边
系统验证,系统验证
三大,三大
关键环节,关键环节
优异,优异
不断,不断
日趋严重,日趋严重
高度重视,高度重视
现代科技,现代科技
要点,要点
措施,措施
推广应用,推广应用
详细,详细
一套,一套
空中,空中
交通管制,交通管制
交接班,交接班
管理系统,管理系统
纸质,纸质
简单,简单
电子化,电子化
低下,低下
遗漏,遗漏
规范性,规范性
追溯,追溯
分层,分层
架构设计,架构设计
自然语言,自然语言
SQL,SQL
引擎,引擎
图形化,图形化
界面,界面
身份,身份
可追溯,可追溯
管制,管制
席位,席位
交接,交接
网关,网关
PostgreSQL,PostgreSQL
数据库,数据库
Microsoft,Microsoft
Excel,Excel
表单,表单
编辑器,编辑器
T5,T5
应用层,应用层
流程化,流程化
正多,正多
保障系统,保障系统
可靠性,可靠性
优势互补,优势互补
引言,引言
摆脱,摆脱
仅,仅
工作人员,工作人员
控制中心,控制中心
异常,异常
复核,复核
工单,工单
派发,派发
及全,及全
50,50
设想,设想
温州,温州
已经,已经
24,24
数据安全,数据安全
论坛,论坛
博园,博园
国际会议中心,国际会议中心
举行,举行
现场,现场
工程技术,工程技术
展开,展开
市中心,市中心
城区,城区
跨江,跨江
大桥,大桥
概况,概况
点明,点明
紧迫性,紧迫性
五大,五大
桥梁,桥梁
城市道路,城市道路
实时性,实时性
系统集成,系统集成
四大,四大
硬件,硬件
多样性,多样性
统一标准,统一标准
收费站,收费站
收费,收费
ETC,ETC
门架,门架
地磁,地磁
选用,选用
LSTM,LSTM
传输层,传输层
三层,三层
功能模块,功能模块
网络层,网络层
五层,五层
功能定位,功能定位
山西省,山西省
展望未来,展望未来
借鉴,借鉴
经营者,经营者
说,说
青岛,青岛
图灵,图灵
副总裁,副总裁
苏士斌,苏士斌
交通指挥,交通指挥
力,力
数以万计,数以万计
遍布,遍布
仅凭,仅凭
人眼,人眼
观察,观察
事故,事故
解决问题,解决问题
数学,数学
数学模型,数学模型
事故现场,事故现场
三角,三角
公路,公路
降噪,降噪
丢失,丢失
补偿,补偿
特征分析,特征分析
原始数据,原始数据
货车,货车
平稳性,平稳性
对非,对非
秦岭,秦岭
终南山,终南山
小时,小时
总体,总体
4229566,4229566
pcu,pcu
百分比,百分比
418106,418106
6428784,6428784
pcu657108,pcu657108
34203637,34203637
对模型,对模型
26973,26973
